keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
UI_COMMON_NOT_IN_DEMO,Not available in the demo.,??????????,????????,?????????,Indisponível na demo.,No disponible en la demo,,Nicht verfügbar in der Demo,?????????? ? ??????????.,Niedost?pne w wersji demonstracyjnej.,Indisponible dans la démo,Indisponibil în versiunea demo.,Demo sürümünde mevcut de?il.,No disponible en la demo.
UI_COMMON_START,Start,????,??,??,Iniciar,Empezar,,Start,??????,Startuj,Commencer,Start,Ba?lat,Empezar
UI_COMMON_SAVE,Save,???,??,??,Salvar,Guardar,,Speichern,?????????,Zapisz,Sauvegarder,Salvare,Kaydet,Guardar
UI_COMMON_SEED,Seed,???,??,??,Seed,Seed,,Seed,Seed,Ziarno,Seed,Seed,Seed,Semilla
UI_COMMON_CANCEL,Cancel,?????,??,??,Cancelar,Cancelar,,Abbrechen,??????,Anuluj,Annuler,Anulare,?ptal,Cancelar
UI_COMMON_ACCEPT,Yes,??,?,?,Sim,Sí,,Ja,??,Tak,Oui,Da,Evet,Sí
UI_COMMON_REJECT,No,???,?,?,Não,No,,Nein,???,Nie,Non,Nu,Hay?r,No
UI_COMMON_BACK,Back,??,??,??,Voltar,Volver,,Zurück,?????,Cofnij,Retour,Înapoi,Geri,Volver
UI_COMMON_PLAY,Play,???,????,????,Jogar,Jugar,,Spielen,??????,Graj,Jouer,Joac?,Oyna,Jugar
UI_COMMON_RARITY_COMMON,Common,???,??,??,Comum,Común,,Gewöhnlich,???????,Pospolity,Commun,Comun,Yayg?n,Común
UI_COMMON_RARITY_UNCOMMON,Uncommon,?????,??,??,Incomum,Poco común,,Ungewöhnlich,?????????,Niepospolity,Peu Commun,Neobi?nuit,Nadir,Poco común
UI_COMMON_RARITY_RARE,Rare,??,??,??,Raro,Raro,,Selten,??????,Rzadki,Rare,Rar,Ender,Raro
UI_COMMON_RARITY_LEGENDARY,Legendary,??????,??,??,Lendário,Legendario,,Legendär,???????????,Legendarny,Légendaire,Legendar,Efsanevi,Legendario
UI_COMMON_RARITY_EXE,EXE,EXE,EXE,EXE,EXE,EXE,,EXE,EXE,EXE,Exe,EXE,EXE,EXE
UI_STAT_HEALTH,Health,??,??,???,Vida,Vida,,Gesundheit,????????,?ycie,Vie,S?n?tate,Sa?l?k,Vida
UI_STAT_HEARTS,Hearts,???,?,?,Corações,Corazones,,Herzen,??????,Serca,Cœurs,Inimi,Kalpler,Corazones
UI_STAT_SHIELD,Shield,????,??,??,Escudo,Escudo,,Schild,???,Tarcza,Bouclier,Scut,Kalkan,Escudo
UI_STAT_ATTACK,Attack,??,???,???,Ataque,Ataque,,Angriff,?????,Atak,Attaque,Atac,Sald?r?,Ataque
UI_STAT_DRAW_LENGTH,Draw Length,????,??????,??????,Tamanho de Desenho,Rango de Dibujo,,Streckenlänge,????? ?????,D?ugo?? szlaczka,Longueur du tracé,Lungimea Liniei Desenate,Çekim Uzunlu?u,Rango de dibujo
UI_STAT_COMBO_CAP,Combo Cap,???????,????,????,Limite de Combo,Máximo Combo,,Kombi Cap,????? ?????,Limit combo,Combo Maximal,Limit? Combo,Kombo S?n?r?,Máximo de combo
