keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
UI_CURSOR_NAME_1,Classic Cursor,クラシックカーソル,经典鼠标,經典滑鼠,Cursor Clássico,Cursor Clásico,,,Классический курсор,,,Classic Cursor,Klasik İmleç,Cursor clásico
UI_CURSOR_DESC_1,The reliable cursor to navigate without any special traits. Circle viruses continuously to identify them.,ウイルスをぐるぐる囲んで検出。特別な機能はないが、安定力がある。,最基础的鼠标，没啥特点。靠圈病毒来识别。,最基本的滑鼠，沒什麼特點。靠圈圈病毒來辨識。,Um cursor confiável para navegar e sem nenhuma característica especial. Circule os vírus continuamente para identificá-los.,El típico cursor para navegar por tu ordenador sin efectos especiales. Dibuja círculos alrededor de los Bugs para identificarlos.,,,"Надежный курсор без особых свойств. Обводите вирусов, чтобы их идентифицировать.",,,"Cursorul clasic, de încredere, pentru navigare fără abilități speciale. Desenează cercuri în jurul virușilor pentru a-i identifica.","Herhangi bir özel özelliği olmayan, güvenilir imleç. Virüsleri tanımlamak için üzerlerinde daire çizmeye devam et.",El típico cursor para navegar sin efectos especiales. Dibuja círculos alrededor de los virus para identificarlos.
UI_CURSOR_UNLOCK_DESC_1,Nothing to see here.,情報なし。,这里啥都没有。,這裡什麼都沒有。,Nada para ver aqui.,No hay absolutamente nada aquí,,,Здесь нечего смотреть.,,,Nu e nimic de văzut aici.,Burada görülecek bir şey yok.,Nada que ver aquí.
UI_CURSOR_NAME_2,Clicking Cursor,クリックカーソル,点击鼠标,點擊滑鼠,Cursor de Clique,Cursor de Clicks,,,Кликающий курсор,,,Clicking Cursor,Tıklayan İmleç,Cursor de clics
UI_CURSOR_DESC_2,"Single-target attacker, tap on the viruses to identify them. You can hold for auto clicking.",ウイルスをクリックして検出する、単体狙いのカーソル。長押しで自動的にクリック連打となる。,告别圈圈玩法。直接按住病毒即可识别。,告別圈圈玩法，直接按住病毒即可辨識。,"Atacante de alvo único, clique nos vírus para identificá-los. Segure o botão do mouse para clicar automaticamente.",Solamente puedes atacar un único virus. Click para identificar o si lo prefieres mantén el botón del ratón para un autoclick,,,"Атакует одиночные цели. Просто кликайте на вирусы, чтобы их идентифицировать. Удерживайте для автоклика.",,,"Atacator pe o singură țintă, pasă pe viruși pentru a-i identifica. Poți ține apăsat pentru auto-click.",Tek hedefe odaklı bir saldırgan. Virüslerin üstüne tıklayarak onları tanımla. Basılı tutarak otomatik tıklama yapabilirsin.,"Solamente puedes atacar un virus. Clic para identificar, o, si lo prefieres, mantén el botón del ratón para un hacer clic automáticamente."
UI_CURSOR_UNLOCK_DESC_2,Identify The First Bug to unlock the Clicking Cursor.,ボス「ファーストバグ」を検出すると「クリックカーソル」が解放される。,识别第一个Bug解锁“点击鼠标”,辨識第一個 Bug 解鎖「點擊滑鼠」,Identifique O Bug Primordial para desbloquear o Cursor de Clique.,Identifica 'Boss1_ElPrimerBug' para desbloquear el Cursor de Clicks,,,"Идентифицируйте Первый Баг, чтобы разблокировать Кликающий курсор.",,,Identifică The First Bug pentru a debloca Clicking Cursor.,Tıklayan İmleç'i açmak için The First Bug'ı tanımla.,Identifica al jefe El primer bug para desbloquear el Cursor de clics
UI_CURSOR_NAME_3,Identifying Cursor,検出カーソル,识别鼠标,辨識滑鼠,Cursor de Identificação,Cursor de Identificación,,,Курсор-идентификатор,,,Identifying Cursor,Tanımlayan İmleç,Cursor de identificación
UI_CURSOR_DESC_3,Increased Draw Length and Combo capacity. Lower base attack.,線の長さとコンボの上限数がアップ。ただし、基本攻撃力は控えめ。,提升鼠标绘画长度和连击上限，基础攻击力降低,提升滑鼠繪圖長度與連擊上限，但基礎攻擊力會下降。,Maior Comprimento de Desenho e capacidade de Combo. Menor ataque base.,"Incrementa tu Rango de Dibujo y tu Máximo Combo, pero reduce tu ataque base",,,"Увеличенная длина линии и объем комбо, но базовый урон понижен.",,,Lungime de desen și capacitate de combo crescute. Atac de bază redus.,Daha uzun çizim menzili ve artırılmış kombo kapasitesi sunar. Temel saldırı gücü düşüktür.,"Incrementa tu Rango de dibujo y tu Capacidad de combo, pero reduce tu ataque base."
UI_CURSOR_UNLOCK_DESC_3,Identify 100 viruses to unlock the Identifying Cursor.,ウイルスを100体検出すると「検出カーソル」が解放される。,识别100个病毒解锁“识别鼠标”,辨識 100 個病毒解鎖「辨識滑鼠」,Identifique 100 vírus para desbloquear o Cursor de Identificação.,Identifica 100 virus para desbloquear el Cursor de Identificación,,,"Идентифицируйте 100 вирусов, чтобы разблокировать Курсор-определитель.",,,Identifică 100 de viruși pentru a debloca Identifying Cursor.,100 virüsü tanımlayarak Tanımlayan İmleç'in kilidini aç.,Identifica 100 virus para desbloquear el Cursor de identificación
UI_CURSOR_NAME_4,Selection Cursor,範囲選択カーソル,选择鼠标,選擇滑鼠,Cursor de Seleção,Cursor de Selección,,,Курсор-выделитель,,,Selection Cursor,Seçim İmleci,Cursor de selección
UI_CURSOR_DESC_4,Deals damage within a dotted box around you periodically.,カーソルの周囲に点線の枠が表示される。その範囲内に入った敵に対し、一定の間隔でダメージが付与される。,对你虚线框范围内的敌人造成周期性伤害。,對你虛線框範圍內的敵人造成週期性傷害。,Periodicamente causa dano dentro de uma caixa pontilhada ao redor de você.,Causa daño periódicamente a todos los virus que se encuentren en el cuadrado que tiene a su alrededor,,,Периодически наносит урон в пределах пунктирного квадрата вокруг вас.,,,Provoacă daune periodic într-o zonă delimitată de o cutie punctată în jurul tău.,Etrafında noktalı bir kutu içinde periyodik olarak hasar verir.,Causa daño periódicamente a todos los virus que se encuentren en el cuadrado que tiene a su alrededor.
UI_CURSOR_UNLOCK_DESC_4,Nothing to see here.,情報なし。,这里啥都没有。,這裡什麼都沒有。,Nada para ver aqui.,No hay absolutamente nada aquí,,,Здесь нечего смотреть.,,,Nu e nimic de văzut aici.,Burada görülecek bir şey yok.,Nada que ver aquí.
UI_CURSOR_NAME_5,Crosshair Cursor,照準カーソル,准星鼠标,準星滑鼠,Cursor de Mira,Cursor de Punto de Mira,,,Курсор-прицел,,,Crosshair Cursor,Nişangah İmleci,Cursor de Punto de mira
UI_CURSOR_DESC_5,"Shoots viruses down quicky with bullets, using combo capacity as magazine size.",銃でウイルスを素早く撃ち落とす。コンボの上限数が弾の数となる。,快速的对敌人射击，连击上限决定了弹夹容量,快速對敵人射擊，連擊上限決定彈匣容量。,"Atira rápido nos vírus com balas, usa capacidade de combo como tamanho da munição.","Dispara rapidamente balas a los virus, usa combo máximo como tamaño de revistas",,,"Быстро расстреливает вирусов, используя объем комбо как магазин.",,,"Împușcă rapid virușii cu gloanțe, folosind capacitatea de combo drept mărimea magaziei.","Virüsleri hızlıca mermilerle vurur, kombo kapasitesini şarjör boyutu olarak kullanır.","Dispara rápidamente balas a los virus, usa combo máximo como tamaño del cargador."
UI_CURSOR_UNLOCK_DESC_5,Identify a virus in a single attack,1回の攻撃でウイルスを検出する。,一击识别一个病毒,一擊識別一個病毒,Identifique um vírus com um único ataque,Identifica un virus en un único ataque,,,Определите вирус за одну атаку,,,Identifică un virus într-un singur atac.,Tek bir saldırıda bir virüs tanımla.,Identifica con un solo ataque a un virus
UI_CURSOR_NAME_6,Rhythm Cursor,リズムカーソル,节奏鼠标,節奏滑鼠,Cursor Rítmico,Cursor Metrónomo,,,Ритмичный курсор,,,Rhythm Cursor,Ritim İmleci,Cursor metrónomo
UI_CURSOR_DESC_6,Tap on the viruses timely for a guaranteed crit. A mistimed tap will break your combo.,タイミング良くクリックすると、確定でクリティカルダメージが出る。ただし、タイミングを外すとコンボが途切れる。,有节奏的点击病毒必定暴击,有節奏地點擊病毒必定爆擊。,Clique no vírus na hora certa para um crit certo. Cliques fora do ritmo quebram o combo.,Clicka en los virus en el tiempo adecuado para hacer daño crítico,,,"Кликайте по вирусам в такт, чтобы наносить гарантированные крит. удары.",,,Apasă pe viruși la momentul potrivit pentru un crit garantat. O apăsare greșită rupe combo-ul.,Virüslere ritimli şekilde tıklarsan garantili kritik vuruş yaparsın. Zamanlamayı kaçırırsan kombon bozulur.,"Cliquea en los virus en el momento adecuado para infligir daño crítico. Si lo haces mal, perderás tu combo."
UI_CURSOR_UNLOCK_DESC_6,Identify a total of {x} Diva viruses during their attack,ウイルス「ディーヴァ」が攻撃している最中に、合計{x}体を検出する。,总计识别{x}个正在攻击中的歌姬病毒,總計識別{x}個正在攻擊中的歌姬病毒,Identifique um total de {x} vírus Diva durante o ataque delas,Identifica un total de {x}  'Virus4_Diva',,,Определите в сумме {x} Дива во время их атаки,,,Identifică un total de {x} viruși Diva în timpul atacurilor lor.,Saldırıları sırasında toplamda {x} Diva virüsünü tanımla.,Identifica un total de {x} Virus diva durante su ataque
UI_CURSOR_NAME_7,Punching Cursor,パンチングカーソル,格斗家鼠标,格鬥家滑鼠,Cursor de Soco,Cursor de Boxeo,,,Ударный курсор,,,Punching Cursor,Yumruk İmleci,Cursor de boxeo
UI_CURSOR_DESC_7,Swing to beat up viruses quickly with knockback. (Your attacks have knockback),カーソルをぶんぶん振り回し、手早くボコボコにする（この攻撃にはノックバック効果が付与される）。,摇晃鼠标对病毒进行附带击退的连击,搖晃滑鼠可對病毒進行附帶擊退的連擊。,Arraste para bater nos vírus e empurrá-los. (Seus ataques empurram),Muevete por la pantalla para pegarle a los virus rapidamente y empujarlos,,,"Размахивайте курсором и бейте вирусов, отбрасывая их назад.",,,Lovește virușii rapid cu efect de recul. (Atacurile tale provoacă knockback.),"Virüslere yumruk atarak hızlıca hasar verir, geri teper. (Saldırıların geri tepmeye neden olur.)",Muevete por la pantalla para pegarle a los virus rápidamente y empujarlos (tus ataques tienen empuje).
UI_CURSOR_UNLOCK_DESC_7,Defeat a Moai virus with Explosive Temper,「触るな危険」の性質を持ったモアイ・ウイルスを倒すと、「パンチカーソル」が解放される。,使用火爆脾气击败复活岛石像,使用火爆脾氣擊敗復活島石像,Derrote um vírus Moai com Temperamento Explosivo,Identifica un 'Virus6_Moai' con el item 'Temperamento Explosivo',,,"Победите вирус Моаи, используя Взрывной нрав",,,Învinge un virus Moai cu Explosive Temper.,Explosive Temper özelliğine sahip bir Moai virüsünü yen.,Derrota a un virus Moai con Temperamento explosivo
UI_CURSOR_NAME_8,Ninja Cursor,ニンジャカーソル,木叶鼠标,木葉滑鼠,Cursor Ninja,Cursor Ninja,,,Ниндзя-курсор,,,Ninja Cursor,Ninja İmleci,Cursor ninja
UI_CURSOR_DESC_8,Hold and stop moving to charge up and unleash rapid slashes on a target.,移動を止めて、左クリック長押しでチャージ。ターゲットに高速の斬撃を放つ。,按住并停止移动鼠标进行蓄力，松开对目标释放快速连斩（哈撒给）,按住並停止移動滑鼠進行蓄力，放開後對目標施放高速連斬（哈撒給）。,Segure e pare de mexer para carregar e executar cortes rápidos no alvo.,Mantén y deja de moverte para cargar un ataque de cortes rápidos,,,"Удерживайте и оставайтесь на месте, чтобы зарядить атаку, а затем обрушьте серию быстрых ударов на врага.",,,Ține apăsat și oprește mișcarea pentru a încărca și elibera o serie rapidă de tăieturi asupra unei ținte.,Basılı tutup hareket etmeyerek enerji topla ve hedefe seri kesikler savur.,Mantén y deja de moverte para cargar un ataque de cortes rápidos
UI_CURSOR_UNLOCK_DESC_8,Cleared the F:/ drive,Fドライブをクリアすることでゲット。,通关F盘,通關F槽,Termine o Drive F:/,Completa el disco F:/,,,Зачистить диск F:/,,,Curăță partiția F:/,F:/ sürücüsünü temizle.,Completa el disco F:/
UI_CURSOR_NAME_9,Mechanic Cursor,メカニックカーソル,机械师鼠标,機械師滑鼠,Cursor Mecânico,Cursor Mecánico,,,Механический курсор,,,Mechanic Cursor,Mekanik İmleç,Cursor mecánico
UI_CURSOR_DESC_9,Hold to consume 2 keys to construct a turret. Collect scraps and hammer your turrets to upgrade,左クリック長押しでタレットを設置（キーを2本消費）。スクラップを集めた後、ハンマーで叩くとタレットが強化される。,按住鼠标会消耗两把钥匙建造一个炮台，收集零件并锤击你的炮台来进行升级,按住滑鼠會消耗兩把鑰匙建造一座砲台，收集零件並敲擊你的砲台以升級。,Segure para gastar 2 chaves e construir uma torreta. Colete sucatas e martele as torretas para melhorá-las,Mantén para consumir 2 llaves a cambio de colocar una torreta. Recolecta fragmentos y martillos para mejorar tus torretas,,,"Удерживайте, чтобы потратить 2 ключа и построить турель. Собирайте обломки и улучшайте её с помощью молотка.",,,Ține apăsat pentru a consuma 2 chei și a construi o turelă. Colectează piese și repară turelele pentru upgrade.,Basılı tutarak 2 anahtar harca ve bir taret inşa et. Hurda toplayarak taretlerini çekiçle geliştir.,Mantén para consumir 2 llaves a cambio de colocar una torreta. Recolecta fragmentos y martilla tus torretas para mejorarlas.
UI_CURSOR_UNLOCK_DESC_9,Obtain Key Piece 1 and Key Piece 2,キーピース1とキーピース2を手に入れる。,收集密钥碎片1和2,收集密鑰碎片1和2,Obtenha o Pedaço de Chave 1 e Pedaço de Chave 2,Obtén Pieza de Llave 1 y Pieza de Llave 2,,,Получите 1 и 2 фрагменты ключа,,,Obține Fragment de Cheie 1 și Fragment de Cheie 2.,Anahtar Parçası 1 ve 2’yi elde et.,Obtén Fragmento de llave 1 y Fragmento de llave 2
UI_CURSOR_NAME_10,Gambler Cursor,ギャンブラーカーソル,赌狗鼠标,賭狗滑鼠,Cursor de Apostas,Cursor Gambling,,,Азартный курсор,,,Gambler Cursor,Kumar İmleci,Cursor de apuestas
