keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
VIRUS_NAME_1,Virus1_Spore,????1_???,??1_??,??1_??,Vírus1_Esporo,Virus1_Espora,,Virus1_Spore,?????1_?????,Wirus1_Zarodnik,Virus1_Spore,Virus1_Spore,Virus1_Spor,Virus1_Espora
VIRUS_DESC_1,"A silent invader that embed spores in clean files, waiting for system restarts to bloom into infection.",?????????????????????????????????\n??????????????????,????????????????????????????????,????????????????????????????????,"Um invasor silencioso que incorpora esporos em arquivos limpos, sempre à espera de reinicializações de sistemas para que a infecção floresça.","Un invasor silecionso que emite esporas en archivos limpios, esperando el reinicio del sistema para florecer en infección",,"Ein stiller Eindringling, der Sporen in sauberen Dateien einbettet und darauf wartet, dass ein Systemneustart die Infektion auslöst.","????? ???????, ?????????? ???? ????? ? ?????? ?????. ????? ??????????? ??????? ??? ?????????? – ? ????????? ???????? ?????? ?? ??? ????.","Cichy naje?d?ca, który osadza zarodniki w zrowych plikach, czekaj?c na ponowne uruchomienie systemu, aby zakwitn?? infekcj?.","Un envahisseur silencieux qui a déposé ses spores dans d'innocent fichier, attendant un redémarrage pour propager son inffection","Un invadator t?cut care insereaz? spori în fi?iere curate, a?teptând repornirea sistemului pentru a înflori în infec?ie.",Temiz dosyalara sporlar yerle?tiren sessiz bir istilac?; sistem yeniden ba?lat?ld?kça sporlar enfeksiyona dönü?mek için bekler.,"Un invasor silencioso que emite esporas en archivos limpios, esperando el reinicio del sistema para florecer en infección."
VIRUS_NAME_2,Virus2_Skull,????2_???,??2_???,??2_???,Vírus2_Caveira,Virus2_Calavera,,Virus2_Schädel,?????2_?????,Wirus2_Czacha,Virus2_Crâne,Virus2_Skull,Virus2_Kuru Kafa,Virus2_Calavera
VIRUS_DESC_2,A skeletal head with hollow eyes that fires malicious corruption. Said to be a ghost of a deleted admin account,???????????????\n??????????????\n??????????????????????,?????????????????????????????????????,?????????????????????????????????????,Uma cabeça esquelética de olhos vazios que dispara corrupção. Dizem que são fantasmas de contas de administrador deletadas,Una calavera con ojos huecos que dispara corrupción. Se dice que es un fantasma de una cuenta administrador que fue eliminada,,"Ein Skelett Kopf mit hohlen Augen, der bösartige Daten feuert. Man sagt, er sei der Geist eines gelöschten Administrators.","????? ? ??????? ??????????, ??????????? ?????? ???????? ?????. ????? ?????, ??? ??????? ?????????? ???????? ??????????????, ?? ??????????? ?? ????? ???????.","Czacha z pustymi oczyma, które strzelaj? z?o?liw? korupcj?. Powiadaj? ?e jest to duch usuni?tego konta administratowa",Un visage squelettique aux yeux creux envoyant une corruption malicieuse. On raconte que c'est le fantôme d'un ancien compte admin,Un cap scheletic cu ochi goi care lanseaz? corup?ie mali?ioas?. Se spune c? este fantoma unui cont de administrator ?ters.,Bo? göz yuval? iskelet bir kafa; kötü amaçl? bozulma yayar. Silinmi? bir yönetici hesab?n?n hayaleti oldu?u söylenir.,Una calavera con ojos huecos que dispara corrupción. Se dice que es un fantasma de una cuenta de administrador que fue eliminada.
VIRUS_NAME_3,Virus3_Trojan,????3_???,??3_??,??3_??,Vírus3_Trojan,Virus3_Troyano,,Virus3_Trojaner,?????3_?????,Wirus3_Trojan,Virus3_Cheval_de_Troie,Virus3_Trojan,Virus3_Truva,Virus3_Troyano
VIRUS_DESC_3,"The trojan enters your system through the backdoor, then brute forcing through all your sensitive information.",?????????????????????\n???????????????????\n??????????????,???????????????????????????????,????????????????????????????????,O Trojan entra no seu sistema através de um backdoor e usa de força bruta para acessar suas informações confidenciais.,"El troyano entra en tu sistema por la puerta trasera, después hace fuera bruta através de toda tu información confidencial.",,Der Trojaner dringt durch die Hintertür ins System ein und erzwingt brutale Zugriffe auf all deine sensiblen Daten.,"????????? ? ??????? ????? ??????, ? ????? ?????????? ?????????? ??? ???? ???????????????? ??????.","Trojan wchodzi do twojego systemu przez tylne drzwi, a potem brutalnie wyciska z ciebie wszystkie poufne informacje.",Le cheval de Troie pénètre votre système par une backdoor avant de récupérer toutes vos informations par la force brute,"Trojanul p?trunde în sistemul t?u prin backdoor, apoi for?eaz? accesul la toate informa?iile tale sensibile.","Truva, arka kap?dan sisteme girer ve hassas bilgilerinize kaba kuvvet sald?r?lar?yla eri?meye çal???r.","El troyano entra en tu sistema por la puerta trasera, después hace fuerza bruta a través de toda tu información confidencial."
VIRUS_NAME_4,Virus4_Diva,????4_?????,??4_??,??4_??,Vírus4_Diva,Virus4_Diva,,Virus4_Diva,?????4_????,Wirus4_Diva,Virus4_Diva,Virus4_Diva,Virus4_Diva,Virus4_Diva
VIRUS_DESC_4,"Charismatic, seductive and dangerously efficient, she was born from the corrupted entertainment sites. Her laser raves overloads CPU and GPU, crashing any system.",???????????????????????????\n????????????????????????\nCPU?GPU???????????????????\n??????????????????,????????**???????????????????????????????????CPU?GPU???????????,?????????????????????????????????????????? CPU ? GPU ???????????,"Carismática, sedutora e assustadoramente eficiente, ela nasceu de sites de entretenimento corrompidos. Seu laser sobrecarrega CPU e GPU, travando qualquer sistema.","Carismática, seductiva y eficientemente peligrosa, ella fue nacida de páginas de entretenimiento corruptas. Su láser sobrecalienta procesador y gráfica crasheando cualquier sitema informático.",,"Charismatisch, verführerisch und gefährlich effizient! Sie wurde aus einem beschädigten Unterhaltungssimulator geboren…","?????????????, ??????????????? ? ?????? ???????????. ???????? ?? ?????????? ??????????????? ??????. ?? ???????? ????? ??????????? CPU ? GPU, ??????? ?????????? ???? ???????.","Charyzmatyczna, uwodzicielka i niebezpiecznie ksuteczna. Zosta?a urodzona z skorumpowanych serwisuów rozrywkowych. Jej lasery przeci??aj? procesor i kart? graficzn?, powoduj?c niebieksi ekran ?mierci nawet najmocniejszych systemów.","Charismatique, séduisante et dangereusement efficace, elle vient des sites de divertissement les plus sombres d'internet. Ses lasers surchargent votre CPU et GPU, causant un crash du système","Carismatic?, seduc?toare ?i periculos de eficient?, s-a n?scut din site-urile de divertisment corupte. Laserele ei supraîncarc? CPU-ul ?i GPU-ul, blocând orice sistem.","Karizmatik, ba?tan ç?kar?c? ve son derece etkili; lazer partileri CPU ve GPU'yu a??r? yükleyerek sistemi çökertir.","Carismática, seductiva y eficientemente peligrosa, ella nació de páginas de entretenimiento corruptas. Su láser sobrecalienta el procesador y la gráfica, bloqueando cualquier sistema informático."
VIRUS_NAME_5,Virus5_ZipBomb,????5_ZIP??,??5_?????,??5_?????,Vírus5_ZipBomb,Virus5_BombaZip,,Virus5_ZipBombe,?????5_Zip?????,Wirus5_ZipBomba,Virus5_ZipBomb,Virus5_ZipBomb,Virus5_ZipBomb,Virus5_BombaZip
VIRUS_DESC_5,"Also known as ""ZOD"", is a decompression bomb disguised as a zip file, designed to crash systems by expanding into petabytes of fake data.",???ZOD??ZIP????????????????????\n????????????????????????\n??????????????,??“ZOD”????zip????????????????PB????????????,???ZOD????? zip ??????????????? PB ????????????,"Também conhecido como ""ZOD"", é uma bomba fantasiada de arquivo zip e feita para travar sistemas se expandindo em petabytes de dados falsos.","También conocida como 'zip de la muerte', es una bomba de descompresión disfrazada en un archivo zip, diseñada para crashear sistemas por falsos incrementos de petabytes de falsos datos.",,"Auch bekannt als ,,ZOD’’ eine Dekompressionsbombe. Getarnt als Zip-Datei, erschaffen, um Systeme abstürzen zu lassen.","????? ???????? ??? «ZOD». ?????-?????, ????????????? ??? ??????? ZIP-????. ??? ?????????? ???????????? ?? ?????????? ????????? ?????? ? ?????? ??? ???????.","Zwany równie? ""ZOD"", jest bomb? dekompresji udawaj?c? zwyk?y plik zip, stworzony aby zcrashowa? twój system  poprzez rozszerzanie si? w petabajty fa?szywych danych","Une bombe cachée sous la forme d'un fichier .zip, prévue pour faire crasher votre système en remplissant votre disque de données inutiles","Cunoscut ?i sub numele de „ZOD”, este o bomb? de decomprimare deghizat? într-un fi?ier zip, creat? pentru a pr?bu?i sistemele prin extinderea în petaby?i de date false.","“ZOD” olarak da bilinen, zip dosyas? k?l???ndaki bir dekompresyon bombas?d?r; petabaytlarca sahte veriye geni?leyerek sistemleri çökertmek için tasarlanm??t?r.","También conocida como «zip de la muerte», es una bomba de descompresión disfrazada en un archivo zip, diseñada para bloquear sistemas por falsos incrementos de petabytes de falsos datos."
