keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
UI_FILE_NAME_TXT_1,HelloWorld.py,???????.py,HelloWorld.py,HelloWorld.py,OláMundo.py,HolaMundo.py,,HalloWelt.py,HelloWorld.py,Witaj?wiecie.py,HelloWorld.py,seriale_manele.txt,MerhabaDünya.py,HolaMundo.py
UI_FILE_NAME_TXT_2,Notes(1).txt,?? (1).txt,????1?.txt,????1?.txt,Notas(1).txt,Notas(1).txt,,Notizen(1).txt,???????(1).txt,Notatki(1).txt,Notes(1).txt,parole_romania_2009.txt,Notlar(1).txt,Notas(1).txt
UI_FILE_NAME_TXT_3,Memo.txt,??.txt,???.txt,???.txt,Memo.txt,Memo.txt,,Memo.txt,?? ??????!.txt,Memo.txt,Memo.txt,keygen_list.txt,Haf?za.txt,Memo.txt
UI_FILE_NAME_TXT_4,NOT Passwords.txt,?????????.txt,????.txt,????.txt,NÃO SÃO Senhas.txt,No son contraseñas.txt,,KEINE_Passwörter.txt,?? ??????.txt,NIE has?a.txt,MotsDePasse.txt,cracks_collection.txt,KES?NL?KLE PAROLALAR DE??L.txt,No son contraseñas.txt
UI_FILE_NAME_TXT_5,NotAVirus.txt,????????.txt,????.txt,????.txt,NaoÉUmVírus.txt,EstoNoEsUnVirus.txt,,KeinVirus.txt,????????????.txt,NieJestemWirusem.txt,PointDuToutUnVirus.txt,parole_vechi.log,VirüsDe?il.txt,EstoNoEsUnVirus.txt
UI_FILE_NAME_TXT_6,Report_final.docx,????_???.docx,??_??.docx,??_???.docx,Relatório_final.docx,Informe_final.docx,,Bericht_final.docx,????? (? ????????).docx,Raport_Ostateczny.docx,Rapport_final.docx,seriale_offline.csv,Son_Rapor.docx,Informe_final.docx
UI_FILE_NAME_TXT_7,log.txt,??.txt,??.txt,??.txt,registro.txt,registro.txt,,protokoll.txt,log.txt,rejestr.txt,log.txt,generator_parole.py,kay?t.txt,registro.txt
UI_FILE_NAME_TXT_8,project.pdf,??????.pdf,??.pdf,??.pdf,projeto.pdf,projecto.pdf,,projekt.pdf,??????.pdf,projekt.pdf,projet.pdf,seriale_backup.txt,proje.pdf,projecto.pdf
UI_FILE_NAME_TXT_9,data.csv,???.csv,??.csv,??.csv,dados.csv,data.csv,,daten.csv,data.csv,dane.csv,donnée.csv,parole_mysql.sql.txt,veri.csv,data.csv
UI_FILE_NAME_TXT_10,New Text.txt,???????.txt,??????.txt,??????.txt,Novo Texto.txt,Nuevo Documento de Texto.txt,,Neuer_Test.txt,????? ?????.txt,Nowy Tekst.txt,Nouveau Document Texte.txt,licente_clienti.csv,Yeni Metin.txt,Nuevo documento de texto.txt
UI_FILE_NAME_TXT_11,agenda.txt,?????.txt,??.txt,??.txt,agenda.txt,agenda.txt,,Tagesordnung.txt,????_???????.txt,agenda.txt,agenda.txt,seriale_demo.md,gündem.txt,agenda.txt
UI_FILE_NAME_TXT_12,report_draft.txt,????_???.txt,??_??.txt,??_??.txt,relatório_rascunho.txt,Borrador_Informe.txt,,Bericht_entwurf.txt,????? (????????).txt,projekt_raportu.txt,Rapport_brouillon.txt,activare_licenta.txt,rapor_taslak.txt,Borrador_Informe.txt
UI_FILE_NAME_TXT_13,save1.txt,??????1.txt,??1.txt,??1.txt,save1.txt,guardado1.txt,,Speicher1.txt,save1.txt,zapis1.txt,sauvegarde1.txt,keygen_readme.md,kay?t1.txt,guardado1.txt
UI_FILE_NAME_TXT_14,Nopass.txt,???????.txt,????.txt,????.txt,Semsenha.txt,NoEntrar.txt,,KeinEinlass.txt,?????????.txt,Nopass.txt,Nopass.txt,parole_personale.txt,Giri?yok.txt,NoEntrar.txt
UI_FILE_NAME_TXT_15,feedback.txt,?????.txt,??.txt,??.txt,feedback.txt,5mentarios.txt,,Rückmeldung.txt,??????.txt,opinie.txt,feedback.txt,seriale_romania_2010.txt,geri_bildirim.txt,retroalimentación.txt
UI_FILE_NAME_TXT_16,final.docx,???.docx,???.docx,???.docx,final.docx,final.docx,,Finale_version.docx,????????? ??????.docx,ostateczny.docx,final.docx,lista_seriale.txt,son.docx,final.docx
UI_FILE_NAME_TXT_17,debuglog.txt,debuglog.txt,????.txt,????.txt,debuglog.txt,debuglog.txt,,Fehlerprotokoll.txt,debuglog.txt,debuglog.txt,debuglog.txt,generator_coduri.txt,hata_kay?t.txt,debuglog.txt
UI_FILE_NAME_TXT_18,sales_pitch.pdf,????.pdf,????.pdf,????.pdf,pitch_vendas.pdf,Ventas.pdf,,Verkaufs_pitch.pdf,???????_???????????.pdf,prezentacja_produktu.pdf,présentation_ventes.pdf,coduri_gta.txt,sat??_sunumu.pdf,Ventas.pdf
UI_FILE_NAME_TXT_19,inventory.csv,??.csv,????.csv,????.csv,inventário.csv,inventario.csv,,Inventar.csv,??????????????.csv,ekwipunek.csv,inventaire.csv,parole_test.log,envanter.csv,inventario.csv
UI_FILE_NAME_TXT_20,staff.csv,??????.csv,????..csv,????..csv,equipe.csv,staff.csv,,Personal.csv,??????????.csv,personel.csv,staff.csv,colegi_liceu.csv,personel.csv,staff.csv
UI_FILE_NAME_TXT_21,readme.md,readme.md,readme.md,readme.md,leiame.md,leeme.md,,readme.md,readme.md,readme.md,lisezmoi.md,keylist_backup.txt,benioku.md,léeme.md
UI_FILE_NAME_TXT_22,myCode.txt,myCode.txt,????.txt,?????.txt,meuCódigo.txt,MiCódigo.txt,,meinCode.txt,myCode.txt,mójKod.txt,monCode.txt,parole_importante.txt,kodum.txt,MiCódigo.txt
UI_FILE_NAME_TXT_23,mem_dump.dmp,memory.dmp,????.dmp,???.dmp,dump_memoria.dmp,mem_dump.dmp,,mem_dump.dmp,mem_dump.dmp,mem_dump.dmp,mem_dump.dmp,seriale_v1.7.txt,bellek_dökümü.dmp,mem_dump.dmp
UI_FILE_NAME_TXT_24,config.cfg,config.cfg,??.cfg,??.cfg,config.cfg,config.cfg,,config.cfg,config.cfg,config.csv,config.cfg,generator_chei_notes.md,ayarlar.cfg,config.cfg
UI_FILE_NAME_TXT_25,my_notes.txt,?????.txt,????.txt,????.txt,minha_notas.txt,mis_notas.txt,,Meine_Notizen.txt,???_???????.txt,moje_notatki.txt,mes_notes.txt,parole_admin.txt,notlar?m.txt,mis_notas.txt
UI_FILE_NAME_TXT_26,AAA.docx,AAA.docx,3A??.docx,3A??.docx,AAA.docx,AAA.docx,,AAA.docx,AAA.docx,AAA.docs,AAA.docx,seriale_vechi_2007.txt,AAA.docx,AAA.docx
