keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
ITEM_NAME_1,Vital Shard,???????,????,????,Fragmento Vital,Fragmento Vital,,Vitaler Splitter,???????? ?????,Od?amek ?ycia,Fragment de Vie,Fragment Vital,Hayati Parça,Fragmento vital
ITEM_DESC_1,Increases max health by 1/2 Heart,???1/2????????????, ?????+0.5?, ?????+0.5?,Aumenta sua vida máxima em 1/2 coração, Incrementa tu vida máxima 1/2 corazón,,Erhöht die maximale Gesundheit um ½ Herz,??????????? ???????????? ???????? ?? 1/2 ??????,Zwi?ksza maksymalne zdrowie o ½ serca ,Augmente la santé maximale de 1 Demi-Cœur,Cre?te s?n?tatea maxim? cu jum?tate de Inim?,Maksimum sa?l??? 1/2 Kalp art?r?r., Aumenta tu vida máxima 1/2 corazón
ITEM_NAME_2,Binary Blade,????????,?????,?????,Lâmina Binária,Cuchilla Binaria,,Binärklinge,???????? ??????,Ostrze binarne,Lame Binaire,Lame Binare,?kili K?l?ç,Cuchilla binaria
ITEM_DESC_2,Increases Attack by 1,???+1, ???+1, ???+1,Aumenta Ataque em 1, Incrementa tu ataque en 1,,Erhöht den Angriff um 1,??????????? ????? ?? 1,Zwi?ksza atak o 1,Augmente l'Attaque de 1,Cre?te atacul cu +1,Sald?r?y? 1 art?r?r., Aumenta tu ataque en 1
ITEM_NAME_3,Overclocker,?????????,????,????,Overclocker,Overclocker,,Übertakter,?????????,Overclocker,Overclocker,Overclocker,A??r? H?zland?r?c?,Overclockear
ITEM_DESC_3,Increases Crit Rate by 20%,???????+20%, ???+20%, ???+20%,Aumenta Taxa Crítica em 20%, Incrementa tu probabilidad de crítico en un 20%,,Erhöht die Krit-Chance um 20 %,??????????? ???? ????? ?? 20%,Zwi?ksza szans? na trafienie krytyczne o 20%,Augmente les chances de Coup Critique de 20%,Cre?te Rata Critical? cu 20%,Kritik oran?n? %20 art?r?r., Aumenta tu probabilidad de crítico en un 20%
ITEM_NAME_4,Amplifier,???,???,???,Amplificador,Amplificador,,Verstärker,??????????? ?????????,Wzmacniacz,Amplificateur,Amplificator,Yükseltici,Amplificador
ITEM_DESC_4,Increases Crit Damage by 20%,??????????+20%, ????+20%, ????+20%,Aumenta Dano Crítico em 20%, Incrementa tu daño crítico en un 20%,,Erhöht den Krit-Schaden um 20 %,??????????? ????. ???? ?? 20%,Zwi?ksza obra?enia krytyczne o 20%,Augmente les Dégâts Critiques de 20%,Cre?te Damage-ul Critical cu 20%,Kritik hasar?n? %20 art?r?r., Aumenta tu daño crítico en un 20%
ITEM_NAME_5,Signal Booster,?????????,?????,?????,Intensificador de Sinal,Amplificador de Señal,,Signal-Booster,????????? ???????,Wzmacniacz sygna?u,Aamplificateur de Signal,Amplificator de Semnal,Sinyal Güçlendirici,Amplificador de señal
ITEM_DESC_5,Increases Draw Length by 100,????????????100????, ??+100, ??+100,Aumenta Tamanho de Desenho em 100, Incrementa el rango de dibujo en 100,,Erhöht die Zuglänge um 100,??????????? ????? ????? ?? 100,Zwi?ksza d?ugo?? szlaczka o 100,Augmente la Longueur du Tracé de 100,Cre?te Lungimea Liniei Desenate cu +100,Çekim Uzunlu?unu 100 art?r?r., Incrementa el Rango de dibujo en 100
ITEM_NAME_6,Combo Cache,????????,????,????,Cache de Combo,Cache Combo,,Kombospeicher,?????-???,Combo Cache,Cache de Combo,Cache Combo,Kombo Önbelle?i,Combo de caché
ITEM_DESC_6,Increases Combo Capacity by 1,???????+1, ????+1, ????+1,Aumenta a Capacidade de Combo em 1, Incrementa tu máximo de combo en 1,,Erhöht die Kombokapazität um 1,??????????? ????? ????? ?? 1,Zwi?ksza limit combo o 1,Augmente ta Capacité de Combo de 1,Cre?te Capacitatea Combo cu +1,Kombo Kapasitesini 1 art?r?r., Aumenta la Capacidad de tu combo en 1
ITEM_NAME_7,Ghost File,????????,????,????,Arquivo Fantasma,Archivo Fantasma,,Geiserdatei,????-???????,Plik duch,Fichier Fantôme,Fi?ier Fantom?,Hayalet Dosya,Archivo fantasma
ITEM_DESC_7,Increase Dodge Rate by 10%,???+10%, ???+10%, ???+10%,Aumenta Chance de Esquiva em 10%, Incrementa tu probabilidad de esquive en un 10%,,Erhöht die Ausweichrate um 10 %,??????????? ???? ????????? ?? 10%,Zwi?ksza szans? na unik o 10%,Augmente les Chances d'Esquive de 10%,Cre?te rata de a feri cu 10%,Kaç?nma Oran?n? %10 art?r?r., Incrementa tu Probabilidad de esquive en un 10%
ITEM_NAME_8,Hyper Zap,???????,????,????,Hiper Zap,Hyper Zap,,Hyper-Schock,???????????,Hiper Zap,Hyper Zap,Hyper Zap,Hiper ?ok,Hiper zap
ITEM_DESC_8,"Your first combo zaps every enemy, dealing equal damage",???????????????????????, ?????????????????,[??] ?????????????????,"Seu primeiro combo atinge todos os inimigos, causando dano igual"," Tu primer combo hará caer un rayo a todos los enemigos, haciendo daño por igual",,Dein erster Komboangriff schockt alle Gegner und verursacht gleichmäßigen Schaden,"?????? ????? ???????? ????? ???? ??????, ?????? ?? ?????? ????",Twoje pierwsze combo razi wszystkich przeciwników zadaj?c równe obra?enia,"Ton premier combo électrocute tout les ennemis, leur Infligant les mêmes Dégâts.","Primul combo electrocuteaz? fiecare inamic, oferîndu-i un damange egal",?lk kombon tüm dü?manlara ?ok verir; e?it hasar uygular.," Tu primer combo hará caer un rayo a todos los enemigos, haciendo daño por igual"
ITEM_NAME_9,Initiator,??????,????,????,Iniciador,Inicializador,,Initiator,?????????,Inicjator,Initiateur,Ini?iator,Ba?lat?c?,Iniciador
ITEM_DESC_9,Doubles your damage on the first combo,????????????2?????, ??????×2,[??] ??????×2,Dobra o dano do seu primeiro combo, Duplica tu daño en tu primer combo,,Verdoppelt deinen Schaden beim ersten Kombo,????????? ???? ??????? ?????,Podwaja obra?enia pierwszego combo,Double les Dégâts du premier Combo,Dubleaz? damage-ul la primul combo,?lk kombonda verdi?in hasar? iki kat?na ç?kar?r., Duplica tu daño en tu primer combo
