keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
MODIFIER_NAME_1,Deadly Spikes,デススパイク,致命尖刺,致命尖刺,Espinhos Mortais,Púas mortales,,,Смертоносные шипы,,,Țepi Letali,Ölümcül Dikenler,Púas mortales
MODIFIER_DESC_1,Viruses shoots out spikes on death,検出したウイルスから、トゲがばらまかれる。,病毒死亡时会射出尖刺,病毒死亡時會射出尖刺,Os vírus atiram espinhos ao morrer,Los virus disparan púas al morir,,,Вирусы выпускают шипы при смерти,,,Virusurile aruncă țepi la moarte,Virüsler öldüklerinde etrafa dikenler fırlatır,Los virus disparan púas al morir
MODIFIER_NAME_2,Detonate Dead,死体爆発,尸爆术,屍爆術,Detonar Mortos,Muerte Explosiva,,,Посмертный взрыв,,,Detonare a Morților,Ceset Patlaması,Muerte explosiva
MODIFIER_DESC_2,Viruses explode after a short delay on death,検出したウイルスが、わずかな間を置いて爆発する。,病毒死亡后会在短暂延迟后爆炸,病毒死亡後會在短暫延遲後爆炸,Os vírus explodem pouco após morrerem,Los virus explotan tras morir,,,Вирусы взрываются через короткое время после смерти,,,Virusurile explodează la scurt timp după moarte,Virüsler öldükten kısa bir süre sonra patlar,Los virus explotan tras morir
MODIFIER_NAME_3,Vampiric Touch,ちゅーちゅードレイン,吸血之触,吸血之觸,Toque Vampírico,Toque vampírico,,,Вампирское касание,,,Atingere Vampirică,Vampirik Dokunuş,Toque vampírico
MODIFIER_DESC_3,Viruses heals after hitting the player,カーソルと接触したウイルスが体力を回復する。,病毒攻击命中玩家后会回复生命值,病毒攻擊命中玩家後會回復生命值,Os vírus se curam ao acertar o jogador,Los virus se curan al golpear al jugador,,,"Вирусы восстанавливают здоровье, нанося урон игроку",,,Virusurile se vindecă după ce lovesc jucătorul,Virüsler oyuncuya vurduğunda can yeniler,Los virus se curan al golpear al jugador
MODIFIER_NAME_4,Weak Grip,握力よわよわ,兜不住啦,兜不住啦,Pegada Fraca,Cartera débil,,,Слабая хватка,,,Priză Slabă,Zayıf Tutuş,Cartera débil
MODIFIER_DESC_4,Chance to lose coins on damage taken,ダメージを受けると、一定の確率でコインを失う。,受到伤害时有几率掉落金币,受到傷害時有機率掉落金幣,Chance de perder moedas ao receber dano,Probabilidad de perder monedas al recibir daño,,,Есть шанс потерять монеты при получении урона,,,Șansă de a pierde monede când primești daune,Hasar alındığında coin düşürme ihtimali vardır,Probabilidad de perder monedas al recibir daño
MODIFIER_NAME_5,Enhanced Virus,強化ウイルス,强化病毒,強化病毒,Vírus Aprimorados,Virus mejorados,,,Усиленные вирусы,,,Virus Îmbunătățit,Geliştirilmiş Virüs,Virus mejorados
MODIFIER_DESC_5,Chance for viruses to spawn with {x}% more health,ウイルス出現時、そのウイルスの体力が{x}％増えることがある。,病毒有几率以增加 {x}% 生命值的状态生成,病毒有機率以增加 {x}% 生命值的狀態生成,Chance de que vírus apareçam com {x}% mais de vida,Probabilidad de que los virus tengan un {x}% más de vida,,,"Есть шанс, что вирус появится с {x}% доп. здоровья",,,Șansă ca virusurile să apară cu {x}% mai multă viață,Virüslerin {x}% daha fazla canla doğma ihtimali vardır,Probabilidad de que los virus tengan un {x}% más de vida
MODIFIER_NAME_6,Viral Mutation,ウイルスの変異,病毒变异,病毒變異,Mutação Viral,Mutación Virus,,,Вирусная мутация,,,Mutație Virală,Viral Mutasyon,Mutación virus
MODIFIER_DESC_6,Chance for viruses to spawn with random enhancements,一定の確率で、ランダムに効果を強化されたウイルスが出現する。,病毒有几率生成时带有随机强化效果,病毒有機率生成時帶有隨機強化效果,Chance de surgir vírus com aprimoramentos aleatórios,Probabilidad de los virus de aparecer con mejoras aleatorias,,,"Есть шанс, что вирус появится со случайным усилением",,,Șansă ca virusurile să apară cu îmbunătățiri aleatorii,Virüslerin rastgele güçlendirmelerle doğma ihtimali vardır,Probabilidad de los virus de aparecer con mejoras aleatorias
MODIFIER_NAME_7,YOLO,人生は一度きり,人固有一死,人固有一死,YOLO,Cursor de Cristal,,,Живем один раз,,,YOLO,Tek Can (YOLO),Cursor de cristal
MODIFIER_DESC_7,Player dies on damage taken,一度でもダメージを受けるとゲームオーバーになる。,玩家受到任何伤害都会直接死亡,玩家受到任何傷害都會直接死亡,O jogador morre após receber dano,El jugador muere al recibir daño,,,Игрок умирает при получении любого урона,,,Jucătorul moare la primirea daunelor,Oyuncu hasar aldığında anında ölür,El jugador muere al recibir daño
MODIFIER_NAME_X,Viral Mutation, DO NOT TRANSLATE,病毒变异,病毒變異, DO NOT TRANSLATE, DO NOT TRANSLATE, DO NOT TRANSLATE, DO NOT TRANSLATE,Вирусная мутация, DO NOT TRANSLATE, DO NOT TRANSLATE, DO NOT TRANSLATE, DO NOT TRANSLATE, DO NOT TRANSLATE
MODIFIER_DESC_X,Chance for viruses to spawn with random enhancements, DO NOT TRANSLATE,病毒有几率生成时带有随机强化效果,病毒有機率生成時帶有隨機強化效果, DO NOT TRANSLATE, DO NOT TRANSLATE, DO NOT TRANSLATE, DO NOT TRANSLATE,"Есть шанс, что вирус появится со случайным усилением", DO NOT TRANSLATE, DO NOT TRANSLATE, DO NOT TRANSLATE, DO NOT TRANSLATE, DO NOT TRANSLATE
MODIFIER_NAME_8,Viral Backup,バックアップから復元,病毒增援,病毒增援,Backup Viral,Copia de Virus,,,Резервная копия,,,Copie de Rezervă Virală,Viral Yedekleme,Copia de virus
MODIFIER_DESC_8,Chance for viruses to respawn on death,ウイルス検出時、一定の確率でウイルスが再出現する。,病毒死亡后有几率重新生成,病毒死亡後有機率重新生成,Chance de que vírus renasçam após a morte,Probabilidad de resucitar los virus al morir,,,"Есть шанс, что вирус возродится после смерти",,,Șansă ca virusurile să reapară după moarte,Virüslerin öldükten sonra yeniden doğma ihtimali vardır,Probabilidad de resucitar los virus al morir
MODIFIER_NAME_9,Go Big Or Go Home,大バクチ,搏一搏，单车变摩托,搏一搏，單車變摩托,Tudo ou Nada,¡A lo grande o nada!,,,Все или ничего,,,Totul Sau Nimic,Büyük Oyna Ya da Eve Dön,¡A lo grande o nada!
MODIFIER_DESC_9,Player deals and takes {x} times more damage,プレイヤーの与ダメージと被ダメージが{x}倍になる。,玩家造成与承受的伤害都会提升 {x} 倍,玩家造成與承受的傷害都會提升 {x} 倍,O jogador causa e recebe {x} vezes mais dano,El jugador inflinge y recibe {x} veces más daño,,,Игрок наносит и получает в {x} р. больше урона,,,Jucătorul provoacă și primește de {x} ori mai multe daune,Oyuncu {x} kat fazla hasar verir ve {x} kat fazla hasar alır,El jugador inflige y recibe {x} veces más daño
MODIFIER_NAME_10,Viral Regeneration,ウイルスの再生,病毒再生,病毒再生,Regeneração Viral,Regeneración virus,,,Вирусная регенерация,,,Regenerare Virală,Viral Yenilenme,Regeneración virus
MODIFIER_DESC_10,Viruses heals over time,時間経過とともに、ウイルスの体力が回復する。,病毒会随时间逐渐恢复生命值,病毒會隨時間逐漸恢復生命值,Os vírus se curam ao longo do tempo,Los virus se curan periodicamente,,,Вирусы постепенно восстанавливают здоровье,,,Virusurile se vindecă în timp,Virüsler zamanla kendilerini iyileştirir,Los virus se curan periódicamente
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
