keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
UI_WIDGET_NAME_1,Attack Widget,攻撃ウィジェット,攻击力组件,攻擊力組件,Widget de Ataque,Widget de Ataque,,Angriffs Widget,Виджет атаки,Widżet ataku,Widget d'attaque,Widget De Atac,Saldırı Aracı,Widget de ataque
UI_WIDGET_DESC_1,Starts with 1 additional base attack.,基本攻撃力+1でスタート。,开局时获得+1基础攻击力。,開局時獲得 +1 基礎攻擊力。,Começa com 1 de ataque base a mais.,Empieza con 1 de ataque base adicional,,Starte mit 1 zusätzlichem Angriffschaden,Начните игру с +1 к базовой атаке.,Zaczynasz z dodatkowym bazowym atakiem.,Démarre une partie avec une attaque de base supplémentaire,Începe cu 1 atac de bază adițional.,1 ek temel saldırı ile başlar.,Empieza con 1 de ataque base adicional.
UI_WIDGET_UNLOCK_DESC_1,Identify The First Bug to unlock the Attack Widget.,ファーストバグを検出すると、「攻撃用ウィジェット」がアンロックされる。,识别第一个Bug以解锁攻击力组件。,識別第一個 Bug 以解鎖攻擊力組件。,Identifique O Bug Primordial para desbloquear o Widget de Ataque.,Identifica a 'Boss1_ElPrimerBug' para desbloquear el Widet de Ataque,,"Identifiziere den First Bug, um das Angriffs Widget freizuschalten","Идентифицируйте Первый Баг, чтобы разблокировать виджет атаки.","Zidentyfikuj Pierwotnego Robala, aby odblokować widżet ataku.",Identifie le Bug Primordial pour débloquer le widger d'attaque,Identifică Primul Bug pentru a debloca Widgetul de Atac.,Saldırı Aracı’nı açmak için The First Bug'ı tanımla.,Identifica al jefe El primer error para desbloquear el Widget de ataque
UI_WIDGET_NAME_2,Health Widget,体力ウィジェット,生命组件,生命組件,Widget de Vida,Widget de Vida,,Gesundheit Widget,Виджет здоровья,Widżet życia,Widget de vie,Widget De Sănătate,Sağlık Aracı,Widget de vida
UI_WIDGET_DESC_2,Starts with 1 additional heart.,ハート+1でスタート。,开局时获得+1颗心。,開局時獲得 +1 顆心。,Começa com 1 coração a mais.,Empieza con 1 corazón extra,,Starte mit 1 zusätzlichem Herzen.,Начните игру с 1 дополнительным сердцем.,Zaczynasz z dodatkowym sercem.,Démarre une partie avec 1 cœur supplémentaire,Începe cu 1 inimă adițională.,1 ek kalp ile başlar.,Empieza con 1 corazón extra.
UI_WIDGET_UNLOCK_DESC_2,Consume 30 health potions to unlock the Health Widget.,ポーションを30個使うと、「回復ウィジェット」がアンロックされる。,使用30个生命药水以解锁生命型组件。,使用 30 個生命藥水以解鎖生命型組件。,Consuma 30 poções de vida para desbloquear o Widget de Vida.,Consume 30 pociones de vida para desbloquear el Widget de Vida,,"Verbrauche 30 Heiltränke, um das Gesundheits Widget freizuschalten","Используйте 30 зелий лечения, чтобы разблокировать виджет здоровья.","Użyj 30 mikstur leczenia, aby odblokować widżet życia. ",Consomme 30 potions pour débloquer le widget de vie,Consumă 30 poțiuni de sănătate pentru a debloca Widgetul De Sănătate.,Sağlık Aracı’nı açmak için 30 sağlık iksiri tüket.,Consume 30 pociones de vida para desbloquear el Widget de vida.
UI_WIDGET_NAME_3,Wealth Widget,コインウィジェット,土豪组件,土豪組件,Widget da Riqueza,Widget de Riqueza,,Reichtums Widget,Виджет богатства,Widżet bogactwa,Widget de fortune,Widgetul Bogăției,Zenginlik Aracı,Widget de riqueza
UI_WIDGET_DESC_3,Starts with 20 additional coins,コイン+20でスタート。,开局时获得+20金币,開局時獲得 +20 金幣。,Começa com 20 moedas adicionais,Empieza con 20 monedas,,Starte mit 20 zusätzlichen Münzen.,Начните игру с 20 дополнительными монетами,Zaczynasz z dodatkowymi 20 monetami,Démarre une partie avec 20 pièces supplémentaire,Începe cu 20 de monede suplimentare,20 ek coin ile başlar.,Empieza con 20 monedas
UI_WIDGET_UNLOCK_DESC_3,Collect a total of {x} coins to unlock the Wealth Widget.,コインを合計{x}枚使うと、「コインウィジェット」がアンロックされる。,总计收集{x}金币来解锁土豪组件。,累計收集 {x} 金幣來解鎖土豪組件。,Colete {x} moedas no total para destravar o Widget da Riqueza.,Obtén un total de {x} moneda para desbloquear el Widget de Riqueza,,"Sammle insgesamt {x} Münzen, um das Reichtums Widget freizuschalten","Соберите {x} монет, чтобы разблокировать виджет богатства.","Zbierz łącznie {x} monet, aby odblokować widżet bogactwa",Ramasse un total de {x} pièces pour débloquer le widget de fortune,Colectează un total de {x} bănuți pentru a debloca Widgetul Bogăției.,Zenginlik Aracı’nı açmak için toplam {x} coin topla.,Obtén un total de {x} monedas para desbloquear el Widget de riqueza
UI_WIDGET_NAME_4,Key Widget,キーウィジェット,密钥组件,密鑰組件,Widget da Chave,Widget de Llaves,,Schlüssel Widget,Виджет ключей,Widżet kluczy,Widget Clé,Widgetul Cheii,Anahtar Aracı,Widget de llaves
