keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
UI_WINDOW_NAME_ADS,Advertisement,広告,广告,廣告,Propaganda,Anuncio,,,Реклама,,,Reclamă,Reklamlar,Anuncio
UI_WINDOW_NAME_EXE,Exe,EXE,Exe,Exe,Exe,Exe,,,Exe,,,Exe,Exe,Exe
UI_WINDOW_NAME_FILE_EXPLORER,File Explorer,ファイルエクスプローラー,文件资源管理器,檔案總管,Explorador de Arquivos,Explorador de Archivos,,,Проводник,,,Explorer,Dosya Gezgini,Explorador de archivos
UI_WINDOW_NAME_DINO_MINIGAME,Jumping Minigame,ジャンプミニゲーム,谷歌小恐龙小游戏,Google 小恐龍小遊戲,Minigame de Pulo,Minijuego de saltar,,,Мини-игра: Прыжки,,,Minigame Sărituri,Zıplama Mini Oyunu,Minijuego de saltar
UI_WINDOW_NAME_AIM_MINIGAME,Aim Minigame,射撃ミニゲーム,决战上海滩小游戏,決戰上海灘小遊戲,Minigame de Mira,Minijuego de puntería,,,Мини-игра: Аим,,,Minigame Provocare,Nişan Alma Mini Oyunu,Minijuego de puntería
UI_WINDOW_NAME_CREDITS,Credits,クレジット,制作人员名单,製作人員名單,Créditos,Créditos,,,Об авторах,,,Credite,Jenerik,Créditos
UI_WINDOW_NAME_CURSOR_SELECT,Cursor Select,カーソル選択,鼠标选择,滑鼠選擇,Seleção de Cursor,Selección de Cursor,,,Выбор курсора,,,Selector Cursor,İmleç Seçimi,Selección de cursor
UI_WINDOW_NAME_CMD,Command Prompt,コマンドプロンプト,命令提示符,命令提示字元,Prompt de Comando,Prompt de Comando,,,Командная строка,,,Linie De Comandă,Komut İstemi,Prompt de comando
UI_WINDOW_NAME_DATABASE,Database,データベース,数据库,資料庫,Banco de Dados,Base de Datos,,,База данных,,,Bază De Date,Veritabanı,Base de datos
UI_WINDOW_NAME_DEATH,Death,デス,死亡,死亡,Morte,Muerte,,,Смерть,,,Moarte,Ölüm,Muerte
UI_WINDOW_NAME_HEALTH,Health,体力,生命,生命,Vida,Vida,,,Здоровье,,,Sănătate,Sağlık,Vida
UI_WINDOW_NAME_LEVEL_COMPLETE,Level Complete,クリア,关卡完成,關卡完成,Nível Concluído,Nivel Completado,,,Уровень завершен,,,Nivel Finalizat,Seviye Tamamlandı,Nivel completado
UI_WINDOW_NAME_LOOT,Loot,お宝,战利品,戰利品,Saque,Botín,,,Лут,,,Cufăr,Ganimet,Botín
UI_WINDOW_NAME_SECRETS,Secrets,シークレット,加密档案,加密檔案,Segredos,Secretos,,,Секреты,,,Secrete,Sırlar,Secretos
UI_WINDOW_NAME_MODS,Mods,MOD,模组,模組,Mods,Mods,,,Моды,,,Mod-uri,Modlar,Mods
UI_WINDOW_NAME_OPTION_CONFIRM,Confirmation,確認,确认,確認,Confirmação,Confirmación,,,Подтверждение,,,Confirmare,Onay,Confirmación
UI_WINDOW_NAME_OPTIONS,Options,オプション,选项,選項,Opções,Opciones,,,Настройки,,,Opțiuni,Ayarlar,Opciones
UI_WINDOW_NAME_PAUSE,Pause,ポーズ,暂停,暫停,Pausar,Pausa,,,Пауза,,,Pauză,Duraklat,Pausa
UI_WINDOW_NAME_PROPERTIES,Properties,プロパティ,属性,屬性,Propriedades,Propiedades,,,Свойства,,,Proprietăți,Özellikler,Propiedades
UI_WINDOW_NAME_QUIT_TO_MENU_CONFIRMATION,Quit To Menu,メニューに戻る,退出至主菜单,退出至主選單,Sair para o Menu,Salir al Menú,,,Выйти в меню,,,Ieși La Meniu,Menüye Dön,Salir al menú
UI_WINDOW_NAME_REWARDS,Rewards,報酬,奖励,獎勵,Recompensas,Recompensas,,,Награды,,,Premii,Ödüller,Recompensas
UI_WINDOW_NAME_SACRIFICE,Sacrifice,捧げる,献祭,獻祭,Sacrificar,Sacrificio,,,Жертвоприношение,,,Sacrificare,Fedakârlık,Sacrificio
UI_WINDOW_NAME_SAVE_LOAD,Save/Load,セーブ/ロード,存档/读档,存檔／讀檔,Salvar/Carregar,Guardar/Cargar,,,Сохранение/Загрузка,,,Salvează/Încarcă,Kaydet/Yükle,Guardar/Cargar
UI_WINDOW_NAME_SHOP,Shop,ショップ,商店,商店,Loja,Tienda,,,Магазин,,,Magazin,Mağaza,Tienda
UI_WINDOW_NAME_TUTORIAL,Tutorial,チュートリアル,教程,教學,Tutorial,Tutorial,,,Обучение,,,Tutorial,Eğitim,Tutorial
UI_WINDOW_NAME_EXE_TUTORIAL,Tutorial Hint,ヒント,教程提示,教學提示,Dica de Tutorial,Pista de Tutorial,,,Подсказка,,,Sugestie tutorială,Eğitim İpucu,Pista de tutorial
UI_WINDOW_NAME_WIDGETS,Widgets,ウィジェット,插件,外掛,Widgets,Widgets,,,Виджеты,,,Widgeturi,Araçlar,Widgets
UI_WINDOW_NAME_DEATH_WISHLIST,Wishlist,ウィッシュリスト,添加到愿望单,加入願望清單,Lista de Desejos,Lista de Deseos,,,Список желаемого,,,Lista de dorință,İstek Listesi,Lista de deseos
